RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Hillsborough County, FLLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Hillsborough County, FL","Life expectancy, female",79.3
"Jefferson County, KYLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Jefferson County, KY","Life expectancy, female",78.5
"Miami-Dade County, FLLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Miami-Dade County, FL","Life expectancy, female",81.4
"Oklahoma County, OKLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Oklahoma County, OK","Life expectancy, female",77.5
"Shelby County, TNLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Shelby County, TN","Life expectancy, female",76.9
"Wake County, NCLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,"Wake County, NC","Life expectancy, female",81.2
"Benchmark AverageLife expectancy, female2004",01/01/2004 12:00:00 AM,2004,Benchmark Average,"Life expectancy, female",78.7
"Orleans Parish, LALife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Orleans Parish, LA","Life expectancy, male",67.3
"Davidson County, TNLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Davidson County, TN","Life expectancy, male",72.3
"East Baton Rouge Parish, LALife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"East Baton Rouge Parish, LA","Life expectancy, male",72.1
"Fulton County, GALife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Fulton County, GA","Life expectancy, male",72.9
"Hillsborough County, FLLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Hillsborough County, FL","Life expectancy, male",74
"Jefferson County, KYLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Jefferson County, KY","Life expectancy, male",73.1
"Miami-Dade County, FLLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Miami-Dade County, FL","Life expectancy, male",75.7
"Oklahoma County, OKLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Oklahoma County, OK","Life expectancy, male",72.4
"Shelby County, TNLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Shelby County, TN","Life expectancy, male",70.9
"Wake County, NCLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,"Wake County, NC","Life expectancy, male",76.9
"Benchmark AverageLife expectancy, male2005",01/01/2005 12:00:00 AM,2005,Benchmark Average,"Life expectancy, male",73.4
"Orleans Parish, LALife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Orleans Parish, LA","Life expectancy, female",75.8
"Davidson County, TNLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Davidson County, TN","Life expectancy, female",78.3
"East Baton Rouge Parish, LALife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"East Baton Rouge Parish, LA","Life expectancy, female",77.5
"Fulton County, GALife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Fulton County, GA","Life expectancy, female",78.2
"Hillsborough County, FLLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Hillsborough County, FL","Life expectancy, female",79.6
"Jefferson County, KYLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Jefferson County, KY","Life expectancy, female",78.8
"Miami-Dade County, FLLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Miami-Dade County, FL","Life expectancy, female",81.7
"Oklahoma County, OKLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Oklahoma County, OK","Life expectancy, female",77.6
"Shelby County, TNLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Shelby County, TN","Life expectancy, female",77
"Wake County, NCLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,"Wake County, NC","Life expectancy, female",81.5
"Benchmark AverageLife expectancy, female2005",01/01/2005 12:00:00 AM,2005,Benchmark Average,"Life expectancy, female",78.9
"Orleans Parish, LALife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Orleans Parish, LA","Life expectancy, male",69
"Davidson County, TNLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Davidson County, TN","Life expectancy, male",72.4
"East Baton Rouge Parish, LALife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"East Baton Rouge Parish, LA","Life expectancy, male",71.9
"Fulton County, GALife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Fulton County, GA","Life expectancy, male",73.1
"Hillsborough County, FLLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Hillsborough County, FL","Life expectancy, male",74.2
"Jefferson County, KYLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Jefferson County, KY","Life expectancy, male",73.4
"Miami-Dade County, FLLife expectancy, male2006",01/01/2006 12:00:00 AM,2006,"Miami-Dade County, FL","Life expectancy, male",75.9
