RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorTable
"Oklahoma City, OK_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Oklahoma City, OK",Population,721094,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Oklahoma City, OK_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Oklahoma City, OK",Population growth,1.25046110493223,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_respop72012_2012",01/01/2012 12:00:00 AM,2012,"Nashville, TN",Population,649142,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_Calculation_2012",01/01/2012 12:00:00 AM,2012,"Nashville, TN",Population growth,2.12046320141333,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_respop72014_2014",01/01/2014 12:00:00 AM,2014,"Nashville, TN",Population,668347,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_Calculation_2014",01/01/2014 12:00:00 AM,2014,"Nashville, TN",Population growth,1.4118978760079,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_respop72011_2011",01/01/2011 12:00:00 AM,2011,"Nashville, TN",Population,635663,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_Calculation_2013",01/01/2013 12:00:00 AM,2013,"Nashville, TN",Population growth,1.52509004193227,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_respop72013_2013",01/01/2013 12:00:00 AM,2013,"Nashville, TN",Population,659042,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Nashville, TN",Population,628045,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Nashville, TN_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Nashville, TN",Population growth,1.21297040817139,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_respop72012_2012",01/01/2012 12:00:00 AM,2012,"Memphis, TN",Population,939942,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_Calculation_2012",01/01/2012 12:00:00 AM,2012,"Memphis, TN",Population growth,0.662485702903114,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_respop72014_2014",01/01/2014 12:00:00 AM,2014,"Memphis, TN",Population,938803,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_Calculation_2014",01/01/2014 12:00:00 AM,2014,"Memphis, TN",Population growth,-0.059827649529203,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_respop72011_2011",01/01/2011 12:00:00 AM,2011,"Memphis, TN",Population,933756,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_Calculation_2013",01/01/2013 12:00:00 AM,2013,"Memphis, TN",Population growth,-0.061386766417502,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_respop72013_2013",01/01/2013 12:00:00 AM,2013,"Memphis, TN",Population,939365,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Memphis, TN",Population,928786,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Memphis, TN_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Memphis, TN",Population growth,0.53510711832435,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_respop72011_2011,01/01/2011 12:00:00 AM,2011,Benchmark Average,Population,1024326.11111111,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_Calculation_2013,01/01/2013 12:00:00 AM,2013,Benchmark Average,Population growth,1.04513455970853,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_respop72014_2014,01/01/2014 12:00:00 AM,2014,Benchmark Average,Population,1061512.77777778,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_respop72010_2010,01/01/2010 12:00:00 AM,2010,Benchmark Average,Population,1004099.66666667,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_Calculation_2012,01/01/2012 12:00:00 AM,2012,Benchmark Average,Population growth,1.46536429395048,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_respop72012_2012,01/01/2012 12:00:00 AM,2012,Benchmark Average,Population,1038988.33333333,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_respop72013_2013,01/01/2013 12:00:00 AM,2013,Benchmark Average,Population,1050265.77777778,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_Calculation_2014,01/01/2014 12:00:00 AM,2014,Benchmark Average,Population growth,1.04373257714393,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
Benchmark Average_Calculation_2011,01/01/2011 12:00:00 AM,2011,Benchmark Average,Population growth,1.63371614775286,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
