RowID,Date,Year,IndicatorName,IndicatorValue
Inmates in Orleans Parish Prison (daily)7-17-2011,07/17/2011,2011,Inmates in Orleans Parish Prison (daily),3139
Inmates in Orleans Parish Prison (daily)7-18-2011,07/18/2011,2011,Inmates in Orleans Parish Prison (daily),3172
Inmates in Orleans Parish Prison (daily)7-19-2011,07/19/2011,2011,Inmates in Orleans Parish Prison (daily),3190
Inmates in Orleans Parish Prison (daily)7-20-2011,07/20/2011,2011,Inmates in Orleans Parish Prison (daily),3214
Inmates in Orleans Parish Prison (daily)7-21-2011,07/21/2011,2011,Inmates in Orleans Parish Prison (daily),3255
Inmates in Orleans Parish Prison (daily)7-22-2011,07/22/2011,2011,Inmates in Orleans Parish Prison (daily),3259
Inmates in Orleans Parish Prison (daily)7-23-2011,07/23/2011,2011,Inmates in Orleans Parish Prison (daily),3242
Inmates in Orleans Parish Prison (daily)7-24-2011,07/24/2011,2011,Inmates in Orleans Parish Prison (daily),3237
Inmates in Orleans Parish Prison (daily)7-25-2011,07/25/2011,2011,Inmates in Orleans Parish Prison (daily),3284
Inmates in Orleans Parish Prison (daily)7-26-2011,07/26/2011,2011,Inmates in Orleans Parish Prison (daily),3272
Inmates in Orleans Parish Prison (daily)7-27-2011,07/27/2011,2011,Inmates in Orleans Parish Prison (daily),3217
Inmates in Orleans Parish Prison (daily)7-28-2011,07/28/2011,2011,Inmates in Orleans Parish Prison (daily),3219
Inmates in Orleans Parish Prison (daily)7-29-2011,07/29/2011,2011,Inmates in Orleans Parish Prison (daily),3216
Inmates in Orleans Parish Prison (daily)7-30-2011,07/30/2011,2011,Inmates in Orleans Parish Prison (daily),3198
Inmates in Orleans Parish Prison (daily)7-31-2011,07/31/2011,2011,Inmates in Orleans Parish Prison (daily),3207
Inmates in Orleans Parish Prison (daily)8-1-2011,08/01/2011,2011,Inmates in Orleans Parish Prison (daily),3241
Inmates in Orleans Parish Prison (daily)8-2-2011,08/02/2011,2011,Inmates in Orleans Parish Prison (daily),3263
Inmates in Orleans Parish Prison (daily)8-3-2011,08/03/2011,2011,Inmates in Orleans Parish Prison (daily),3127
Inmates in Orleans Parish Prison (daily)8-4-2011,08/04/2011,2011,Inmates in Orleans Parish Prison (daily),3132
Inmates in Orleans Parish Prison (daily)8-5-2011,08/05/2011,2011,Inmates in Orleans Parish Prison (daily),3024
Inmates in Orleans Parish Prison (daily)8-6-2011,08/06/2011,2011,Inmates in Orleans Parish Prison (daily),3004
Inmates in Orleans Parish Prison (daily)8-7-2011,08/07/2011,2011,Inmates in Orleans Parish Prison (daily),2982
Inmates in Orleans Parish Prison (daily)8-8-2011,08/08/2011,2011,Inmates in Orleans Parish Prison (daily),3023
Inmates in Orleans Parish Prison (daily)8-9-2011,08/09/2011,2011,Inmates in Orleans Parish Prison (daily),3007
Inmates in Orleans Parish Prison (daily)8-10-2011,08/10/2011,2011,Inmates in Orleans Parish Prison (daily),2984
Inmates in Orleans Parish Prison (daily)8-11-2011,08/11/2011,2011,Inmates in Orleans Parish Prison (daily),3017
Inmates in Orleans Parish Prison (daily)8-12-2011,08/12/2011,2011,Inmates in Orleans Parish Prison (daily),3027
Inmates in Orleans Parish Prison (daily)8-13-2011,08/13/2011,2011,Inmates in Orleans Parish Prison (daily),3023
Inmates in Orleans Parish Prison (daily)8-14-2011,08/14/2011,2011,Inmates in Orleans Parish Prison (daily),3022
Inmates in Orleans Parish Prison (daily)8-15-2011,08/15/2011,2011,Inmates in Orleans Parish Prison (daily),3065
Inmates in Orleans Parish Prison (daily)8-16-2011,08/16/2011,2011,Inmates in Orleans Parish Prison (daily),3074
Inmates in Orleans Parish Prison (daily)8-17-2011,08/17/2011,2011,Inmates in Orleans Parish Prison (daily),3049
Inmates in Orleans Parish Prison (daily)8-18-2011,08/18/2011,2011,Inmates in Orleans Parish Prison (daily),3055
Inmates in Orleans Parish Prison (daily)8-19-2011,08/19/2011,2011,Inmates in Orleans Parish Prison (daily),3059
Inmates in Orleans Parish Prison (daily)8-20-2011,08/20/2011,2011,Inmates in Orleans Parish Prison (daily),3055
Inmates in Orleans Parish Prison (daily)8-21-2011,08/21/2011,2011,Inmates in Orleans Parish Prison (daily),3038
Inmates in Orleans Parish Prison (daily)8-22-2011,08/22/2011,2011,Inmates in Orleans Parish Prison (daily),3103
Inmates in Orleans Parish Prison (daily)8-23-2011,08/23/2011,2011,Inmates in Orleans Parish Prison (daily),3098
Inmates in Orleans Parish Prison (daily)8-24-2011,08/24/2011,2011,Inmates in Orleans Parish Prison (daily),3059
Inmates in Orleans Parish Prison (daily)8-25-2011,08/25/2011,2011,Inmates in Orleans Parish Prison (daily),3073
Inmates in Orleans Parish Prison (daily)8-26-2011,08/26/2011,2011,Inmates in Orleans Parish Prison (daily),3076
Inmates in Orleans Parish Prison (daily)8-27-2011,08/27/2011,2011,Inmates in Orleans Parish Prison (daily),3064
